Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető",lat,lon
Barcs,420,Somogy,"45,57,32-17,23,40",2022,ezüst juhar,Szél Győző,45.958889,17.394444
Zirc,420,Veszprém,"47,15,47-17,50,26",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán; két törzsből nőtt össze",47.263056,17.840556
Szeged,419,Csongrád,"46,14,55-20,11,58",2021,ezüst juhar,,46.248611,20.199444
Kőszeg,417,Vas,"47,23,37-16,32,45",2014,korai juhar,"Szél Győző, Daniló Eszter",47.393611,16.545833
Dunapataj,416,Bács-Kiskun,"46,38,53-18,57,43",2018,ezüst juhar,Szél Győző,46.648056,18.961944
Mezőhegyes,415,Békés,"46,18,52-20,49,14",2010,zöld juhar,,46.314444,20.820556
Rakamaz,410,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,30",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.458333
Bükkszentkereszt,406,Borsod-Abaúj-Zemplén,"48,02,38-20,37,33",2016,hegyi juhar,Egy belenőtt gyertyánnal együtt mérve.,48.043889,20.625833
Nagycenk,405,Győr-Moson-Sopron,"47,36,28-16,42,16",2018,hegyi juhar,Szél Győző,47.607778,16.704444
Szeged,405,Csongrád,"46,14,50-20,12,14",2021,ezüst juhar,,46.247222,20.203889
Lad,405,Somogy,"46,08,52-17,39,21",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán",46.147778,17.655833
Osli,404,Győr-Moson-Sopron,"47,38,53-17,06,09",2024,ezüst juhar,Teket Attila,47.648056,17.1025
Szeged,403,Csongrád,"46,14,46-20,12,24",2010,ezüst juhar,"Szilágyi Rita. Mintegy 30 ezüst juhar egy sorban, másik 5 példány 378-397 cm között. 478/2021",46.246111,20.206667
Nagykovácsi,403,Pest,"47,34,30-18,53,28",2011,ezüst juhar,Baranyai László; 2017-ben már csak a tuskója van meg (Torma Zoltán),47.575,18.891111
Herend,402,Veszprém,"47,08,14-17,45,41",2008,korai juhar,Szilágyi Rita,47.137222,17.761389
Osli,402,Győr-Moson-Sopron,"47,38,58-17,06,24",2024,ezüst juhar,Teket Attila,47.649444,17.106667
Szentpéterúr,400,Zala,"46,44,09-17,03,5",2024,mezei juhar,,46.735833,17.051389
Szeged,400,Csongrád,"46,14,51-20,12,11",2021,ezüst juhar,,46.2475,20.203056
Helesfa,400,Baranya,"46,05,27-17,58,30",2009,zöld juhar,Lukács Róbert; 413/2014,46.090833,17.975
Szentpéterúr,399,Zala,"46,44,06-17,03,13",2024,mezei juhar,,46.735,17.053611
Csertő,398,Baranya,"46,06,09-17,48,25",2010,mezei juhar,Lukács Róbert; 2017: kivágták (Takács Márton),46.1025,17.806944
Gemenc,396,Bács-Kiskun,"46,13,38-18,52,37",2018,zöld juhar,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.227222,18.876944
Somogytúr,396,Somogy,"46,40,50-17,45,39",2014,mezei juhar,Sólyom Attila; 413/2024,46.680556,17.760833
Szentes,396,Csongrád,"46,39,03-20,15,00",2015,ezüst juhar,,46.650833,20.25
Szeleste,395,Vas,"47,18,27-16,49,49",2015,hegyi juhar,"Szél Győző, Daniló Eszter",47.3075,16.830278
Gemenc,395,Tolna,"46,18,09-18,51,57",2012,zöld juhar,Elblinger Ferenc,46.3025,18.865833
Jánkmajtis,391,Szabolcs-Szatmár-Bereg,"47,56,06-22,39,32",2009,zöld juhar,,47.935,22.658889
Révfülöp,391,Veszprém,"46,49,35-17,37,58",2020,ezüst juhar,Teket Attila,46.826389,17.632778
Marcali,391,Somogy,"46,34,45-17,24,21",2015,ezüst juhar,Sólyom Attila,46.579167,17.405833
Szeged,390,Csongrád,"46,14,55-20,11,58",2021,ezüst juhar,,46.248611,20.199444
Kadarkút,389,Somogy,"46,14,41-17,37,04",2015,ezüst juhar,Lukács Róbert,46.244722,17.617778
Osli,385,Győr-Moson-Sopron,"47,38,57-17,06,24",2024,ezüst juhar,Teket Attila,47.649167,17.106667
Sántos,385,Somogy,"46,20,04-17,53,04",2020,mezei juhar,Schmidt András,46.334444,17.884444
Hárskút,384,Veszprém,"47,12,20-17,46,30",2022,mezei juhar,Teket Attila,47.205556,17.775
Szilvásvárad,382,Heves,"48,05,21-20,24,14",2008,hegyi juhar,,48.089167,20.403889
Mosdós,382,Somogy,"46,21,20-17,59,42",2019,hegyi juhar,Sólyom Attila; magasság: 30 m/2019,46.355556,17.995
Somogytarnóca,382,Somogy,"46,00,30-17,27,31",2010,korai juhar,,46.008333,17.458611
Füzérradvány,381,Borsod-Abaúj-Zemplén,"48,29,08-21,32,01",2019,korai juhar,Szél Győző,48.485556,21.533611
Óbánya,381,Baranya,"46,13,17-18,24,12",2010,ezüst juhar,398/2014,46.221389,18.403333
Barcs/Kisbók,379,Somogy,"45,56,49-17,31,19",2016,mezei juhar,,45.946944,17.521944
Osli,379,Győr-Moson-Sopron,"47,38,58-17,06,25",2024,ezüst juhar,Teket Attila,47.649444,17.106944
Magyarszecsőd,378,Vas,"47,02,29-16,38,59",2018,hegyi juhar,"Torma Zoltánné, Torma Zoltán",47.041389,16.649722
Szentmártonkáta,378,Pest,"47,28,25-19,42,13",2012,korai juhar,Lesti Szabolcs,47.473611,19.703611
Kőszeg,376,Vas,"47,23,31-16,32,57",2009,hegyi juhar,"380/2017, 387/2021, 393/2025",47.391944,16.549167
Budapest,376,Pest,"47,31,50-19,03,07",2014,korai juhar,Szél Győző,47.530556,19.051944
Mezőberény,375,Békés,"46,51,45-21,03,56",2025,zöld juhar,,46.8625,21.065556
Osli,374,Győr-Moson-Sopron,"47,38,53-17,06,09",2024,ezüst juhar,Teket Attila,47.648056,17.1025
Szigliget,372,Veszprém,"46,48,06-17,25,52",2011,korai juhar,Baranyai László,46.801667,17.431111
Szeged,372,Csongrád,"46,14,57-20,11,54",2021,ezüst juhar,,46.249167,20.198333
Lajosháza,372,Somogy,"46,06,02-17,39,08",2009,mezei juhar,Lukács Róbert,46.100556,17.652222
Görcsöny,371,Baranya,"45,58,19-18,08,02",2014,mezei juhar,"Torma Zoltánné, Torma Zoltán",45.971944,18.133889
Herend,370,Veszprém,"47,09,02-17,46,12",2008,mezei juhar,Baranyai László; 403/2023,47.150556,17.77
Csorna,369,Győr-Moson-Sopron,"47,39,05-17,06,47",2024,ezüst juhar,Teket Attila,47.651389,17.113056
Szentlőrinc,367,Baranya,"46,02,24-17,59,14",2020,zöld juhar,Ulmer Eszter,46.04,17.987222
Siófok,367,Somogy,"46,54,25-18,02,53",2017,zöld juhar,magasság: 17 m/2017,46.906944,18.048056
Csesznek,366,Veszprém,"47,18,49-17,52,17",2015,hegyi juhar,Jandala Attila,47.313611,17.871389
Rakamaz,366,Szabolcs-Szatmár-Bereg,"48,07,36-21,27,31",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126667,21.458611
Osli,366,Győr-Moson-Sopron,"47,38,57-17,06,23",2024,ezüst juhar,Teket Attila,47.649167,17.106389
Pamuk,366,Somogy,"46,31,43-17,37,36",2021,mezei juhar,Sólyom Attila; magasság: 21 m/2021,46.528611,17.626667
Balatonfenyves,365,Somogy,"46,39,40-17,27,25",2017,ezüst juhar,,46.661111,17.456944
Celldömölk,365,Vas,"47,15,30-17,08,52",2019,ezüst juhar,Teket Attila,47.258333,17.147778
Makád,365,Pest,"47,05,39-18,53,46",2026,zöld juhar,Baranyai László,47.094167,18.896111
Gemenc,364,Bács-Kiskun,"46,13,40-18,52,37",2018,zöld juhar,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.227778,18.876944
Somogyvár,364,Somogy,"46,34,40-17,38,49",2007,mezei juhar,,46.577778,17.646944
Gávavencsellő,364,Szabolcs-Szatmár-Bereg,"48,10,20-21,33,38",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.172222,21.560556
Herend,362,Veszprém,"47,09,04-17,46,17",2023,mezei juhar,Teket Attila,47.151111,17.771389
Osli,362,Győr-Moson-Sopron,"47,38,58-17,06,26",2024,ezüst juhar,Teket Attila,47.649444,17.107222
Rakamaz,362,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,28",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.457778
Görcsöny,362,Baranya,"45,58,11-18,08,10",2014,ezüstjuhar,"Torma Zoltánné, Torma Zoltán",45.969722,18.136111
Pilisszentkereszt,362,Pest,"47,41,55-18,53,05",2023,hegyi juhar,,47.698611,18.884722
Sikonda,361,Baranya,"46,10,30-18,13,57",2008,mezei juhar,Lukács Róbert,46.175,18.2325
Hegyszentmárton,360,Baranya,"45,53,53-18,06,28",2014,mezei juhar,"Tóth Viktória, Erdős László",45.898056,18.107778
Bolhó,360,Somogy,"46,00,55-17,16,50",2012,mezei juhar,Szél Győző,46.015278,17.280556
Bakonyszücs,360,Veszprém,"47,18,38-17,41,45",2017,mezei juhar,Jandala Attila; magasság: 19 m/2017,47.310556,17.695833
Szászvár,359,Baranya,"46,16,21-18,23,00",2019,ezüst juhar,2023-ban kivágták (Schneidler Viktor),46.2725,18.383333
Osli,358,Győr-Moson-Sopron,"47,38,56-17,06,20",2024,ezüst juhar,Teket Attila,47.648889,17.105556
Vác,358,Pest,"47,50,51-19,08,46",2017,mezei juhar,"Lesti Szabolcs, Torma Zoltán, Torma Zoltánné; Szendehely-Katalinpusztáról lehet megközelíteni, de a völgynek ez a fele Váchoz tartozik.",47.8475,19.146111
Szeged,358,Csongrád,"46,14,44-20,12,26",2021,ezüst juhar,,46.245556,20.207222
Böhönye,357,Somogy,"46,23,35-17,23,57",2011,mezei juhar,Lukács Róbert,46.393056,17.399167
Ötvöskónyi,356,Somogy,"46,17,01-17,21,36",2023,zöld juhar,"Torma Zoltánné, Torma Zoltán",46.283611,17.36
Kőszeg,356,Vas,"47,23,34-16,32,54",2025,ezüst juhar,,47.392778,16.548333
Gávavencsellő,356,Szabolcs-Szatmár-Bereg,"48,10,19-21,33,39",2017,hegyi juhar,"Zoltánné Torma, Zoltán Torma, Ágnes Torma; magasság: 25 m/2017",48.171944,21.560833
Lókút,356,Veszprém,"47,12,24-17,50,49",2021,hegyi juhar,Tóth Sándor,47.206667,17.846944
Marcali,355,Somogy,"46,34,48-17,24,29",2015,korai juhar,Sólyom Attila,46.58,17.408056
Szilvásvárad,355,Heves,"48,06,17-20,23,31",2023,korai juhar,"Torma Zoltánné, Torma Zoltán",48.104722,20.391944
Kapolcs,355,Veszprém,"46,57,17-17,36,23",2024,ezüst juhar,Szabó János,46.954722,17.606389
Sikonda,355,Baranya,"46,10,27-18,14,06",2008,mezei juhar,Lukács Róbert,46.174167,18.235
Vámosmikola,355,Nógrád,"47,56,53-18,46,52",2016,ezüst juhar,Szél Győző,47.948056,18.781111
Szeged,355,Csongrád,"46,14,49-20,12,14",2021,ezüst juhar,,46.246944,20.203889
Lad,353,Somogy,"46,08,53-17,39,22",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán",46.148056,17.656111
Bolhó,353,Somogy,"46,00,58-17,16,53",2012,mezei juhar,Szél Győző,46.016111,17.281389
Budapest,353,Pest,"47,28,47-19,06,54",2014,ezüstjuhar,Szél Győző,47.479722,19.115
Rinyabesenyő,352,Somogy,"46,10,01-17,31,08",2019,ezüst juhar,,46.166944,17.518889
Iharos,352,Somogy,"46,20,30-17,06,04",2016,hegyi juhar,"Torma Zoltán, Torma Zoltánné",46.341667,17.101111
Gemenc,352,Tolna,"46,16,17-18,52,39",2009,zöld juhar,,46.271389,18.8775
Balatonfüred,351,Veszprém,"46,57,15-17,53,37",2009,ezüst juhar,,46.954167,17.893611
Gávavencsellő,351,Szabolcs-Szatmár-Bereg,"48,10,19-21,33,39",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes; magasság: 25 m/2017",48.171944,21.560833
Budapest,350,Pest,"47,28,34-19,06,06",2014,ezüstjuhar,,47.476111,19.101667
Csorna,350,Győr-Moson-Sopron,"47,39,20-17,07,33",2024,ezüst juhar,Teket Attila,47.655556,17.125833
Pusztakovácsi,350,Somogy,"46,32,37-17,34,17",2016,mezei juhar,"Sólyom Attila, bizonytalan méret",46.543611,17.571389
Szeged,349,Csongrád,"46,14,48-20,12,16",2021,ezüst juhar,,46.246667,20.204444
Celldömölk,349,Vas,"47,15,30-17,08,52",2019,ezüst juhar,Teket Attila,47.258333,17.147778
Gemenc,348,Bács-Kiskun,"46,15,32-18,53,53",2018,zöld juhar,"Szombathelyi Gergely, Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.258889,18.898056
Balatonudvari,348,Veszprém,"46,54,16-17,48,27",2020,ezüst juhar,Csarnogurszky István,46.904444,17.8075
Rakamaz,348,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,28",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.457778
Úrkút/Zsófiapuszta,347,Veszprém,"47,04,23-17,40,13",2013,hegyi juhar,"Sütő Krisztián; egytörzsű, szép példány.",47.073056,17.670278
Rinyabesenyő,347,Somogy,"46,10,02-17,31,09",2019,ezüst juhar,,46.167222,17.519167
Budapest,347,Pest,"47,31,27-19,02,52",2014,mezei juhar,Szél Győző; 2024-ben kivágták (Nagy Dániel),47.524167,19.047778
Szeged,347,Csongrád,"46,14,49-20,12,15",2021,ezüst juhar,,46.246944,20.204167
Szeged,346,Csongrád,"46,14,50-20,12,11",2021,ezüst juhar,,46.247222,20.203056
Görcsöny,346,Baranya,"45,58,17-18,07,56",2014,korai juhar,"Torma Zoltánné, Torma Zoltán",45.971389,18.132222
Tengelic/Középhídvég,346,Tolna,"46,31,09-18,38,11",2013,korai juhar,"Elblinger Ferenc, Torma Zoltán, Torma Zoltánné",46.519167,18.636389
Bakonyszücs,345,Veszprém,"47,18,41-17,41,43",2017,korai juhar,Tóth Sándor; magasság: 30 m/2017,47.311389,17.695278
Kisgyőr,345,Borsod-Abaúj-Zemplén,"48,02,32-20,37,18",2019,hegyi juhar,"Torma Zoltánné, Torma Zoltán",48.042222,20.621667
Tata,345,Komárom-Esztergom,"47,39,05-18,20,39",2024,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",47.651389,18.344167
Kám,344,Vas,"47,06,07-16,52,41",2023,hegyi juhar,,47.101944,16.878056
Bakonyszentlászló,343,Győr-Moson-Sopron,"47,21,44-17,49,38",2018,mezei juhar,"Elblinger Ferenc, Torma Zoltán, Torma Zoltánné; 346/2021",47.362222,17.827222
Iregszemcse,343,Tolna,"46,41,27-18,11,26",2018,korai juhar,,46.690833,18.190556
Pilisszentkereszt,343,Pest,"47,42,16-18,52,37",2023,mezei juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely; magasság: 28 m/2023",47.704444,18.876944
Rakamaz,342,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,29",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.458056
Lengyeltóti,342,Somogy,"46,40,12-17,38,33",2015,korai juhar,Sólyom Attila,46.67,17.6425
Szarvas,342,Békés,"46,52,32-20,32,05",2017,korai juhar,Szél Győző,46.875556,20.534722
Rakamaz,341,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,28",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes",48.126944,21.457778
Nagyberki,341,Somogy,"46,21,55-18,00,32",2021,mezei juhar,,46.365278,18.008889
Szentpéterúr,341,Zala,"46,44,15-17,03,00",2024,mezei juhar,,46.7375,17.05
Gönc,341,Borsod-Abaúj-Zemplén,"48,28,18-21,16,34",2013,ezüst juhar,Szél Győző,48.471667,21.276111
Bakonyszücs,340,Veszprém,"47,18,38-17,41,44",2017,mezei juhar,Jandala Attila,47.310556,17.695556
Somogydöröcske,340,Somogy,"46,33,59-18,01,24",2013,mezei juhar,Fodor Péter,46.566389,18.023333
Váralja,340,Tolna,"46,15,08-18,25,16",2019,mezei juhar,Elblinger Ferenc,46.252222,18.421111
Bolhó,340,Somogy,"46,01,01-17,17,12",2007,mezei juhar,347/2011,46.016944,17.286667
Hédervár,340,Győr-Moson-Sopron,"47,49,52-17,27,16",2013,hegyi juhar,Szél Győző,47.831111,17.454444
Nemesnádudvar,340,Bács-Kiskun,"46,20,23-19,03,17",2019,korai juhar,Elblinger Ferenc,46.339722,19.054722
Majk,340,Komárom-Esztergom,"47,30,02-18,20,22",2024,mezei juhar,Torma Zoltán,47.500556,18.339444
Mórahalom,340,Csongrád,"46,13,31-19,53,20",2022,zöld juhar,Kármán Kolos,46.225278,19.888889
Zirc,340,Veszprém,"47,15,47-17,50,30",2017,korai juhar,"Torma Zoltánné, Torma Zoltán",47.263056,17.841667
Herend,340,Veszprém,"47,09,03-17,46,15",2023,mezei juhar,Teket Attila,47.150833,17.770833
Böhönye,339,Somogy,"46,24,24-17,23,27",2020,mezei juhar,Schmidt András,46.406667,17.390833
Osli,339,Győr-Moson-Sopron,"47,38,58-17,06,26",2024,ezüst juhar,Teket Attila,47.649444,17.107222
Pilisszentkereszt,339,Pest,"47,42,16-18,52,36",2023,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely",47.704444,18.876667
Kisgyőr,339,Borsod-Abaúj-Zemplén,"48,02,07-20,36,19",2019,korai juhar,"Torma Zoltánné, Torma Zoltán",48.035278,20.605278
Oroszlány,339,Komárom-Esztergom,"47,27,13-18,16,05",2014,mezei juhar,"Szél Győző, Daniló Eszter",47.453611,18.268056
Somogyvár/Vityapuszta,338,Somogy,"46,35,29-17,43,27",2016,mezei juhar,Sólyom Attila,46.591389,17.724167
Szeged,338,Csongrád,"46,14,57-20,11,55",2021,ezüst juhar,,46.249167,20.198611
Tapsony,338,Somogy,"46,26,42-17,18,31",2016,mezei juhar,,46.445,17.308611
Osli,337,Győr-Moson-Sopron,"47,38,57-17,06,22",2024,ezüst juhar,Teket Attila,47.649167,17.106111
Görcsöny,337,Baranya,"45,58,18-18,07,56",2014,korai juhar,"Torma Zoltánné, Torma Zoltán",45.971667,18.132222
Tornaszentjakab,337,Borsod-Abaúj-Zemplén,"48,32,16-20,51,15",2008,zöld juhar,,48.537778,20.854167
Adony,337,Fejér,"47,07,11-18,51,39",2015,korai juhar,Szél Győző,47.119722,18.860833
Szentgál,337,Veszprém,"47,11,42-17,43,30",2023,mezei juhar,Teket Attila,47.195,17.725
Böhönye,336,Somogy,"46,23,42-17,23,59",2011,mezei juhar,Lukács Róbert,46.395,17.399722
Zirc,335,Veszprém,"47,15,48-17,50,26",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán",47.263333,17.840556
Szentgál,335,Veszprém,"47,10,46-17,42,37",2023,hegyi juhar,Teket Attila,47.179444,17.710278
Gamás,335,Somogy,"46,38,14-17,45,34",2024,korai juhar,"Sólyom Attila, Valent Sándor",46.637222,17.759444
Csesznek,334,Veszprém,"47,18,40-17,52,34",2015,hegyi juhar,Jandala Attila,47.311111,17.876111
Csesznek,333,Veszprém,"47,18,41-17,52,30",2015,hegyi juhar,Jandala Attila,47.311389,17.875
Csorna,333,Győr-Moson-Sopron,"47,39,31-17,08,07",2024,ezüst juhar,Teket Attila,47.658611,17.135278
Bokod,333,Komárom-Esztergom,"47,28,03-18,16,06",2014,mezei juhar,"Szél Győző, Daniló Eszter",47.4675,18.268333
Miskolc,332,Borsod-Abaúj-Zemplén,"48,04,51-20,35,59",2021,hegyi juhar,,48.080833,20.599722
Kisköre,332,Heves,"47,28,12-20,27,40",2025,ezüst juhar,Szél Győző,47.47,20.461111
Celldömölk,332,Vas,"47,15,30-17,08,54",2019,ezüst juhar,Teket Attila,47.258333,17.148333
Zalatárnok,331,Zala,"46,41,21-16,47,24",2023,mezei juhar,"Fitos László Zoltán, Fitos László Vencel",46.689167,16.79
Nagycenk,331,Győr-Moson-Sopron,"47,36,28-16,42,26",2018,mezei juhar,Szél Győző,47.607778,16.707222
Csorna,331,Győr-Moson-Sopron,"47,39,30-17,08,06",2024,ezüst juhar,Teket Attila,47.658333,17.135
Adony,330,Fejér,"47,07,11-18,51,42",2015,korai juhar,Szél Győző,47.119722,18.861667
Osli,330,Győr-Moson-Sopron,"47,38,52-17,06,06",2024,ezüst juhar,Teket Attila,47.647778,17.101667
Gönc,330,Borsod-Abaúj-Zemplén,"48,28,17-21,16,31",2013,zöld juhar,,48.471389,21.275278
Gávavencsellő,330,Szabolcs-Szatmár-Bereg,"48,10,15-21,33,36",2017,ezüst juhar,,48.170833,21.56
Salgótarján,330,Nógrád,"48,06,54-19,54,08",2012,hegyi juhar,Jandala Attila; korhad.,48.115,19.902222
Herend,330,Veszprém,"47,09,01-17,46,07",2023,mezei juhar,Teket Attila,47.150278,17.768611
Barcs/Kisbók,330,Somogy,"45,56,46-17,31,20",2016,mezei juhar,,45.946111,17.522222
Felsőtárkány,330,Heves,"48,00,59-20,26,05",2017,hegyi juhar,,48.016389,20.434722
Szentlőrinc,329,Baranya,"46,02,27-17,59,10",2020,zöld juhar,Ulmer Eszter,46.040833,17.986111
Almamellék,329,Somogy,"46,12,08-17,53,52",2020,mezei juhar,"Ulmer Eszter, Schmidt Péter, Schmidt András; Torma Zoltánné, Torma Zoltán",46.202222,17.897778
Herend,329,Veszprém,"47,09,02-17,46,12",2023,mezei juhar,Teket Attila,47.150556,17.77
